-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 06/01/2025 through 08/31/2025 in LST
Location: Latitude  45.5098   Longitude -73.5878 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 37.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 0.6-m perennial groundcover (100%) (vegtype_7) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,PS,WSC
2025,6,1,0,0.0,98.85,7.19
2025,6,1,1,0.0,98.91,7.52
2025,6,1,2,0.0,98.98,7.47
2025,6,1,3,0.0,99.04,7.41
2025,6,1,4,8.1,99.1,7.4
2025,6,1,5,53.47,99.15,7.35
2025,6,1,6,130.52,99.21,7.29
2025,6,1,7,193.62,99.25,7.06
2025,6,1,8,260.6,99.29,6.97
2025,6,1,9,263.83,99.32,7.03
2025,6,1,10,274.73,99.37,7.21
2025,6,1,11,256.45,99.41,7.36
2025,6,1,12,320.27,99.48,7.42
2025,6,1,13,241.82,99.55,7.35
2025,6,1,14,245.85,99.65,7.16
2025,6,1,15,202.65,99.76,6.9
2025,6,1,16,144.55,99.88,6.37
2025,6,1,17,83.5,99.99,5.79
2025,6,1,18,31.35,100.1,5.25
2025,6,1,19,2.85,100.2,5.06
2025,6,1,20,0.0,100.29,4.99
2025,6,1,21,0.0,100.32,4.97
2025,6,1,22,0.0,100.35,4.76
2025,6,1,23,0.0,100.35,4.49
2025,6,2,0,0.0,100.36,4.41
2025,6,2,1,0.0,100.38,4.74
2025,6,2,2,0.0,100.41,4.93
2025,6,2,3,0.0,100.46,4.7
2025,6,2,4,14.62,100.52,4.29
2025,6,2,5,119.28,100.59,4.2
2025,6,2,6,274.35,100.64,3.81
2025,6,2,7,467.12,100.66,3.74
2025,6,2,8,664.4,100.66,4.29
2025,6,2,9,748.53,100.66,4.9
2025,6,2,10,817.62,100.64,5.23
2025,6,2,11,806.92,100.62,5.45
2025,6,2,12,732.9,100.6,5.52
2025,6,2,13,621.12,100.6,5.43
2025,6,2,14,566.3,100.62,5.22
2025,6,2,15,464.98,100.64,4.98
2025,6,2,16,351.12,100.67,4.68
2025,6,2,17,211.88,100.69,4.0
2025,6,2,18,88.72,100.76,3.47
2025,6,2,19,7.03,100.83,3.52
2025,6,2,20,0.0,100.91,3.96
2025,6,2,21,0.0,100.96,4.4
2025,6,2,22,0.0,100.99,4.42
2025,6,2,23,0.0,101.0,4.29
2025,6,3,0,0.0,101.0,4.2
2025,6,3,1,0.0,101.03,4.06
2025,6,3,2,0.0,101.09,4.05
2025,6,3,3,0.0,101.15,3.92
2025,6,3,4,20.05,101.2,3.54
2025,6,3,5,140.23,101.24,2.75
2025,6,3,6,298.4,101.27,2.09
2025,6,3,7,464.1,101.33,2.12
2025,6,3,8,613.72,101.39,2.09
2025,6,3,9,704.15,101.35,2.2
2025,6,3,10,820.85,101.28,2.57
2025,6,3,11,868.92,101.26,3.1
2025,6,3,12,777.62,101.3,3.24
2025,6,3,13,768.28,101.27,3.31
2025,6,3,14,627.58,101.21,3.44
2025,6,3,15,470.6,101.19,3.41
2025,6,3,16,308.38,101.17,3.32
2025,6,3,17,174.55,101.14,3.22
2025,6,3,18,68.78,101.13,3.59
2025,6,3,19,5.97,101.18,4.57
2025,6,3,20,0.0,101.24,5.19
2025,6,3,21,0.0,101.26,5.58
2025,6,3,22,0.0,101.25,5.72
2025,6,3,23,0.0,101.22,5.32
2025,6,4,0,0.0,101.21,4.93
2025,6,4,1,0.0,101.21,4.77
2025,6,4,2,0.0,101.21,4.48
2025,6,4,3,0.0,101.2,3.9
2025,6,4,4,13.6,101.22,3.85
2025,6,4,5,93.62,101.25,3.24
2025,6,4,6,207.62,101.27,2.49
2025,6,4,7,377.9,101.25,2.5
2025,6,4,8,543.03,101.22,3.47
2025,6,4,9,717.45,101.18,3.95
2025,6,4,10,805.28,101.12,3.98
2025,6,4,11,858.75,101.06,4.16
2025,6,4,12,849.3,101.03,4.49
2025,6,4,13,790.2,100.99,4.85
2025,6,4,14,645.65,100.96,5.21
2025,6,4,15,534.67,100.93,5.33
2025,6,4,16,401.33,100.91,5.28
2025,6,4,17,232.45,100.9,5.06
2025,6,4,18,87.3,100.89,5.03
2025,6,4,19,6.93,100.89,5.09
2025,6,4,20,0.0,100.92,4.95
2025,6,4,21,0.0,100.92,4.62
2025,6,4,22,0.0,100.89,4.44
2025,6,4,23,0.0,100.84,4.55
2025,6,5,0,0.0,100.84,4.61
2025,6,5,1,0.0,100.85,4.71
2025,6,5,2,0.0,100.85,4.73
2025,6,5,3,0.0,100.88,4.91
2025,6,5,4,14.12,100.94,5.23
2025,6,5,5,94.7,101.0,4.78
2025,6,5,6,213.73,101.06,4.39
